ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Kalamazoo|MI|49048|42.3189|-85.5152|158937|Therapist, speech and language|1929-08-02|915259790398|adults_50up_female_urban.json
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Mobile|AL|36617|30.7145|-88.0918|270712|Astronomer|1992-08-09|163860419795|adults_2550_male_urban.json
312-11-4067|2706999386774968|Elizabeth|Oliver|F|34123 Andrea Estate|Muncie|IN|47306|40.2023|-85.4082|93768|Accountant, chartered|2004-02-24|495675808653|young_adults_female_urban.json
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Utica|MI|48317|42.6413|-83.0504|78577|Teacher, adult education|1968-06-16|317489104406|adults_50up_male_urban.json
128-60-4983|3548877190659403|Anna|Hayden|F|490 Thomas Run|Stewartville|MN|55976|43.8673|-92.4547|7582|Private music teacher|1985-12-10|308877180672|adults_2550_female_urban.json
600-56-8057|2556551256746807|Jesse|Edwards|M|68087 Brown Path Suite 977|Oscoda|MI|48750|44.4465|-83.3619|8846|Arts development officer|2005-03-05|292932052116|young_adults_male_urban.json
135-37-7179|3510932480861310|Joel|Wilson|M|4846 Baird Gardens|Morgan City|LA|70380|29.6977|-91.2654|22928|Programmer, multimedia|1961-09-08|161281455424|adults_50up_male_urban.json
196-77-8328|3514658404499723|Jill|Washington|F|867 Kane Square Apt. 963|Salt Lake City|UT|84124|40.6772|-111.8133|594043|Paediatric nurse|1997-01-19|348079814698|adults_2550_female_urban.json
485-91-6247|6011702895171879|Adrian|Thomas|M|74596 Melissa Walk|Fort Worth|TX|76108|32.7822|-97.4969|813980|Social research officer, government|1981-05-03|688554816658|adults_2550_male_urban.json
778-63-8865|676213431619|Paige|Padilla|F|2400 Flynn Hill|Brunswick|GA|31525|31.2804|-81.5305|63812|Mechanical engineer|1971-06-14|474056332778|adults_50up_female_urban.json
251-68-6752|3522196937923745|Joe|Estrada|M|8217 Huerta Hills Suite 474|Wapato|WA|98951|46.4507|-120.4265|13739|Engineer, civil (contracting)|2004-12-14|425199071794|young_adults_male_urban.json
110-31-6249|3594406409097438|Lisa|Gomez|F|421 Kyle Mill|Cocoa|FL|32926|28.391|-80.787|65760|Analytical chemist|1964-06-10|401921209060|adults_50up_female_urban.json
135-12-4836|372328588424742|Paul|Morgan|M|1236 Davis Locks|Tolono|IL|61880|39.985|-88.2596|4183|Administrator, education|1986-12-01|589546360500|adults_2550_male_urban.json
466-48-4296|3551370985931744|Marie|Wilson|F|47113 Paul Land|Anchorage|AK|99501|61.2116|-149.8761|242037|Sound technician, broadcasting/film/video|1945-03-15|646045230097|adults_50up_female_urban.json
745-20-6798|4796405377351581|Steven|Newman|M|4317 Elizabeth Row|Nashville|TN|37221|36.0662|-86.9639|431336|Therapist, speech and language|1991-04-03|25645650502|adults_2550_male_urban.json
806-43-3991|4183933529042288|David|Thompson|M|05395 Grant Center|Dallas|TX|75228|32.825|-96.6784|1263321|Computer games developer|1984-09-20|462747155483|adults_2550_male_urban.json
117-96-1042|38589178390843|Judith|Maynard|F|6617 Jones Common|Muskogee|OK|74403|35.7411|-95.3449|48185|IT technical support officer|1972-11-24|161526407509|adults_50up_female_urban.json
130-36-9591|180069847896112|Sarah|Curtis|F|7365 Ross Stream|Union|NJ|07083|40.6952|-74.2677|53053|Chief of Staff|1935-03-27|469493820213|adults_50up_female_urban.json
682-33-6133|4111161528098856|Meagan|Jenkins|F|049 Bell Ports Apt. 273|Morganton|NC|28655|35.7346|-81.7042|54996|Clinical cytogeneticist|1995-08-19|929216664078|adults_2550_female_urban.json
377-15-4565|3568998094024455|Gregory|White|M|612 Christopher Pines|South Houston|TX|77587|29.6601|-95.2258|16568|Engineer, structural|1992-12-05|461177243339|adults_2550_male_urban.json
350-21-6063|4991022901476797641|Daniel|Hunt|M|1497 Williams Locks Apt. 034|Box Elder|SD|57719|44.1199|-103.0682|6217|Engineer, mining|1995-06-08|153619596480|adults_2550_male_urban.json
297-42-1966|675962268388|Justin|Barnett|M|60607 Michelle Ports Suite 966|Sunnyvale|CA|94087|37.3502|-122.0349|140482|Horticultural consultant|1986-09-10|442876297368|adults_2550_male_urban.json
333-22-7539|3516136968164536|Gary|Jackson|M|835 Luna Viaduct|Cheshire|CT|06410|41.5055|-72.9081|29161|Data scientist|1990-09-16|112683916677|adults_2550_male_urban.json
263-26-2843|3512779979955279|Andrea|Ramos|F|9058 Lance Mission Apt. 054|Brookline|NH|03033|42.7384|-71.6663|4987|Camera operator|1968-12-24|951956593813|adults_50up_female_urban.json
630-77-8308|6598079359782074|Ashley|Nolan|F|182 John Mill Suite 889|Saint Paul|MN|55112|45.0788|-93.1872|753116|Designer, interior/spatial|1974-01-27|409584822948|adults_50up_female_urban.json
397-53-5544|4515186449251922|Sydney|Collins|F|91486 Li Skyway Apt. 685|North Branford|CT|06471|41.3323|-72.7809|7720|Adult nurse|1994-08-16|340859761513|adults_2550_female_urban.json
220-44-7968|4221418880595|Bonnie|Bennett|F|92706 Rhodes Freeway|Fairfield|OH|45014|39.3266|-84.5479|43917|Producer, radio|1983-02-18|311860132678|adults_2550_female_urban.json
240-69-3919|4359774688623924075|Shelly|Spencer|F|814 Kathryn Groves|Bracey|VA|23919|36.5763|-78.1059|2666|Production assistant, television|1997-04-11|566528976346|adults_2550_female_urban.json
851-56-1503|4506068536152|Danny|Flores|M|522 Justin Village|Houston|TX|77072|29.699|-95.5862|2906700|Public house manager|1958-01-05|913522673163|adults_50up_male_urban.json
778-91-7686|30010432898610|Ricardo|Young|M|36971 Mary Parks|Miami|FL|33144|25.7626|-80.3096|1737737|Therapist, speech and language|1999-09-20|19482202674|adults_2550_male_urban.json
528-74-3964|3546095396218518|Tiffany|Stephens|F|7065 Burgess Knolls|Terre Haute|IN|47802|39.407|-87.402|95238|Broadcast journalist|1978-07-02|263473920508|adults_2550_female_urban.json
673-81-1699|3520585277221706|Edward|Williams|M|54868 King Terrace|Jacksonville|IL|62650|39.737|-90.3014|26992|Engineer, aeronautical|1973-12-08|392070860877|adults_50up_male_urban.json
887-84-5439|4566765277584161694|Whitney|White|F|1154 Griffin Stravenue Suite 275|Kansas City|KS|66106|39.0694|-94.7178|150224|Product manager|1982-08-17|799045831074|adults_2550_female_urban.json
630-56-4499|4165820297021358|Heidi|Herring|F|275 Wallace Club|Cedar Rapids|IA|52404|41.9521|-91.6853|134152|Teacher, secondary school|1961-12-30|580411980930|adults_50up_female_urban.json
408-41-4567|4027868144733|Whitney|Mitchell|F|12172 Osborn Valleys Suite 518|Lemon Grove|CA|91945|32.7332|-117.0326|25460|Special effects artist|1930-06-26|980499639968|adults_50up_female_urban.json
872-21-2853|341323705895781|Beverly|Henson|F|6786 Morrow Cliffs|Howe|IN|46746|41.7286|-85.4727|4036|Comptroller|1966-03-16|352068690122|adults_50up_female_urban.json
076-58-7633|4289226801824223|Frank|Fletcher|M|414 Cynthia Plaza Suite 249|Los Angeles|CA|90012|34.0614|-118.2385|2383912|Social research officer, government|2007-11-08|550157085827|young_adults_male_urban.json
173-76-9514|4995900109439695|Margaret|Jimenez|F|473 Evans Cliffs Apt. 276|Del Rio|TX|78840|29.4102|-100.8932|48149|Radio broadcast assistant|1998-10-22|225333063288|adults_2550_female_urban.json
622-19-5122|3556258815371477|Danielle|Davis|F|9632 Peck Stravenue Suite 327|Denver|CO|80205|39.759|-104.9661|990452|Scientist, biomedical|1994-07-29|547465802270|adults_2550_female_urban.json
510-03-1476|6533950047974802|Ryan|Jordan|M|565 Richard Port Apt. 584|New York City|NY|10128|40.7816|-73.9511|1577385|Buyer, retail|1945-07-01|555710136742|adults_50up_male_urban.json
783-71-4583|3521655852398689|Andrew|Williams|M|8729 Mark Ridge Suite 269|Burbank|CA|91505|34.169|-118.3442|106841|Hydrographic surveyor|1960-04-28|371917215429|adults_50up_male_urban.json
849-66-8722|30470551694093|John|Coffey|M|097 Alexandria Stravenue|Muskegon|MI|49441|43.1962|-86.2738|128715|Water quality scientist|1982-04-05|926744876615|adults_2550_male_urban.json
152-88-3969|676213075622|Jennifer|Harris|F|028 Ann Shore Suite 865|Gaithersburg|MD|20878|39.1125|-77.2515|135332|Early years teacher|1945-12-07|375951918053|adults_50up_female_urban.json
363-87-4332|3533484344375759|Kristina|Michael|F|1986 Cardenas Trail Apt. 404|San Juan|TX|78589|26.2044|-98.1537|38004|Careers information officer|1989-08-02|719159529356|adults_2550_female_urban.json
766-62-3506|4842199330839|Margaret|Williams|F|7120 Richard Wells Suite 734|Bell|CA|90201|33.9767|-118.1689|101279|IT sales professional|1982-09-21|709895453406|adults_2550_female_urban.json
788-12-9407|4262067240046|Laura|Rodriguez|F|7887 Melissa Mountain Suite 315|Houston|TX|77082|29.7223|-95.6285|2906700|Designer, textile|1959-01-05|505651306822|adults_50up_female_urban.json
264-92-3051|060454932967|Samantha|Robertson|F|1227 Boyle Avenue|Clewiston|FL|33440|26.7172|-80.9492|19743|Games developer|2000-01-21|259345477235|adults_2550_female_urban.json
772-35-5401|4453017426841459337|Tina|Mendoza|F|956 Todd Unions Apt. 391|Beech Island|SC|29842|33.4707|-81.8639|7675|Secondary school teacher|1953-03-14|581739352909|adults_50up_female_urban.json
371-10-9244|5288398225871391|John|Nolan|M|72867 Angelica Spring Suite 064|Miami|FL|33137|25.8156|-80.1897|1737737|Accountant, chartered certified|2003-12-12|239426407161|young_adults_male_urban.json
075-06-6942|348017046226564|Jerry|Stark|M|1825 Gregory Plain Suite 823|Parker|CO|80134|39.4895|-104.8447|84861|Accountant, chartered certified|1962-09-05|24722602367|adults_50up_male_urban.json
475-87-8921|6533752431069037|Daniel|Garcia|M|9030 Gonzales Plains|Salt Lake City|UT|84102|40.76|-111.8627|594043|Engineer, water|1998-02-24|952427834357|adults_2550_male_urban.json
144-65-4740|4995342836449|Amy|Fry|F|687 Teresa Row|Hollywood|FL|33024|26.0296|-80.2489|420284|Museum/gallery curator|1933-12-02|578900622716|adults_50up_female_urban.json
714-54-6689|4628733427086681|Joseph|Price|M|51751 Brett Lane Apt. 139|Sun Valley|CA|91352|34.2209|-118.3699|47807|Surveyor, land/geomatics|1958-11-05|524918088976|adults_50up_male_urban.json
891-43-4968|563173936383|Frank|Campbell|M|544 Hunt Parks Suite 175|Mobile|AL|36608|30.6817|-88.2945|270712|Engineer, electronics|1994-02-08|345189549205|adults_2550_male_urban.json
047-73-3626|3504899642353692|Roy|Porter|M|7772 Jackson Stravenue Suite 280|Orlando|FL|32810|28.6214|-81.4294|878243|Scientist, research (physical sciences)|1966-01-31|919268273279|adults_50up_male_urban.json
838-86-0795|630423120389|Joy|Brown|F|700 Smith Pines Suite 840|North Aurora|IL|60542|41.8089|-88.3274|17099|Retail buyer|1980-07-12|767996662339|adults_2550_female_urban.json
441-23-1754|2623398454615676|Karl|Branch|M|1016 Bennett Mountains|Middletown|RI|02842|41.5198|-71.2731|16095|Banker|2007-12-07|11324746755|young_adults_male_urban.json
176-11-8190|6591803397401489|Justin|Johnson|M|39261 Martin Garden Suite 856|Jacksonville|FL|32221|30.2837|-81.8202|847415|Counselling psychologist|1969-11-30|797529515996|adults_50up_male_urban.json
513-96-5667|502063159995|Jennifer|Ayala|F|477 Michael Lane|Milwaukee|WI|53218|43.1122|-87.9932|817312|Podiatrist|1945-09-01|748122047461|adults_50up_female_urban.json
677-49-1405|3531142626551107|Terri|Wallace|F|21267 Garcia Corners Suite 819|Spirit Lake|IA|51360|43.4262|-95.1123|8031|Therapist, sports|1967-12-08|359851424229|adults_50up_female_urban.json
013-38-6780|6011839826224441|Johnny|Brown|M|6471 King Gateway Suite 993|Dexter|NY|13634|44.0069|-76.065|3984|Programmer, systems|1998-02-08|146488330909|adults_2550_male_urban.json
007-51-5444|3557569245937524|Vincent|Novak|M|793 Bennett Viaduct Suite 519|Corpus Christi|TX|78413|27.691|-97.3983|306433|Engineer, communications|1999-05-14|199911954718|adults_2550_male_urban.json
787-71-0441|3537416724342666|Angela|Ewing|F|688 Stephens Turnpike Suite 891|Camden|OH|45311|39.6134|-84.61|6367|Clinical embryologist|1973-03-13|273885572142|adults_50up_female_urban.json
681-46-2726|4965610143888999|Connie|Brooks|F|982 Cuevas Orchard Apt. 461|Houston|TX|77086|29.9227|-95.4939|2906700|Commercial art gallery manager|1967-05-17|157754796139|adults_50up_female_urban.json
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Brooklyn|NY|11235|40.5839|-73.9536|2504700|Psychologist, counselling|1983-11-07|877169140360|adults_2550_male_urban.json
645-24-3054|4609379660334199|Brian|Wiggins|M|5371 Lambert Overpass|Newton|GA|39870|31.3164|-84.3367|2238|Secretary, company|1972-10-12|704228248578|adults_50up_male_rural.json
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|San Ramon|CA|94583|37.7562|-121.9522|73396|Electronics engineer|1956-08-30|697874934613|adults_50up_male_urban.json
711-83-2839|213174225790506|John|Lee|M|876 Perry Ville Suite 721|Tacoma|WA|98403|47.2643|-122.4575|323239|Systems analyst|1995-04-14|872010906800|adults_2550_male_urban.json
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Norcross|GA|30071|33.9381|-84.1972|108060|Firefighter|1969-07-03|959056357132|adults_50up_female_urban.json
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Ione|CA|95640|38.3324|-120.9418|11353|Paramedic|1974-02-04|68370591034|adults_50up_male_urban.json
888-84-2079|3532536729466718|Mark|Beard|M|8457 Murphy Alley|Belleville|IL|62221|38.5396|-89.9583|95666|Chief Financial Officer|1976-06-08|697753726506|adults_2550_male_urban.json
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|Oceanside|CA|92057|33.2407|-117.3025|188742|Phytotherapist|1960-08-06|999389892260|adults_50up_male_urban.json
667-39-2605|4541520643611037125|Kevin|Stone|M|05162 Jones Lights Apt. 115|Tonopah|AZ|85354|33.4228|-112.9528|6645|Mental health nurse|1972-06-27|330201333423|adults_50up_male_urban.json
392-97-2182|4189092753269739|Angelica|Garcia|F|656 Moody Gateway|Beaverton|OR|97005|45.4963|-122.8001|183865|Health and safety inspector|1989-08-31|92962937500|adults_2550_female_urban.json
567-77-9831|3504389836403768|Brian|Porter|M|055 Paul Villages|Media|PA|19063|39.9188|-75.3991|35704|Teacher, adult education|1971-06-11|401239553647|adults_50up_male_urban.json
700-23-7718|5191043006848665|Michael|Miller|M|1418 Terri Drives|Avon Park|FL|33825|27.6001|-81.5015|24942|Software engineer|1980-08-03|430900111440|adults_2550_male_urban.json
650-98-1084|4303161799042102026|Jon|Reed|M|52410 Roman Groves Apt. 491|San Antonio|TX|78233|29.5563|-98.3643|1595797|Research scientist (maths)|1965-12-14|560300808050|adults_50up_male_urban.json
057-64-9288|4241913800030756|Janet|Hernandez|F|635 Robert Stravenue|Sparks|NV|89441|39.6582|-119.6954|110014|IT consultant|1986-04-02|907403143513|adults_2550_female_urban.json
586-48-1957|213123806174457|Brandon|Bryant|M|49493 Richardson Park Apt. 832|Harbor Springs|MI|49740|45.5251|-85.0062|7042|Accounting technician|1980-08-25|450681215698|adults_2550_male_urban.json
239-70-5676|4506413836702411|Andrew|Hall|M|571 William Route Suite 199|Burton|MI|48529|42.9744|-83.6629|27206|Biomedical engineer|1996-10-24|727717710246|adults_2550_male_urban.json
243-38-4277|375574313291214|Carly|Owens|F|85374 Baker Crest Apt. 249|Babylon|NY|11702|40.6642|-73.341|14498|Architect|1935-06-12|915751541289|adults_50up_female_urban.json
152-12-4067|378044206788319|Julia|Lara|F|00323 Watson Roads|Brooksville|FL|34604|28.4409|-82.4612|64191|Chartered accountant|1956-02-25|646746156066|adults_50up_female_urban.json
833-10-0358|2237215107029667|Jon|Reyes|M|53244 Stephenson Bypass Apt. 476|Saint Charles|MO|63303|38.7622|-90.5471|134684|Statistician|1964-10-21|66481931623|adults_50up_male_urban.json
287-50-2249|6011838065787597|Jonathan|Price|M|59304 Lindsey Mountains|Wichita|KS|67219|37.7719|-97.3175|409656|Senior tax professional/tax inspector|1956-12-26|843348752593|adults_50up_male_urban.json
239-21-1641|4480396522393|Emily|Rojas|F|059 Anna Field Suite 842|Marietta|GA|30062|34.0025|-84.4633|302309|Recycling officer|2000-11-14|98947300855|young_adults_female_urban.json
239-78-3585|676170593252|Michelle|Sellers|F|02921 Yu Landing Suite 915|Manteca|CA|95336|37.8134|-121.2132|74232|Immigration officer|1998-11-29|147414458291|adults_2550_female_urban.json
750-56-7983|4289539264422099|James|Gamble|M|95939 Sharon Divide|San Francisco|CA|94121|37.7786|-122.4892|805301|Learning disability nurse|1987-05-11|84805603866|adults_2550_male_urban.json
356-41-2751|4570433154100676|Morgan|Costa|F|6586 Maria Turnpike Apt. 271|New York City|NY|10005|40.7056|-74.0083|1577385|Analytical chemist|2004-02-05|22741459331|young_adults_female_urban.json
268-14-1216|346218159970624|Lawrence|Hamilton|M|53368 Guerrero Hills|Decatur|IN|46733|40.8273|-84.9314|18777|Field seismologist|1973-11-04|51951563323|adults_50up_male_urban.json
586-71-8044|4506149731032419|John|Wilson|M|7418 Lopez Light Suite 270|Bend|OR|97701|44.0928|-121.2936|105390|General practice doctor|1985-05-14|512989778945|adults_2550_male_urban.json
232-35-9245|503811586935|Kristen|Randall|F|793 Evans Locks Apt. 898|Drewryville|VA|23844|36.6854|-77.3591|788|Teacher, music|1950-12-17|161577842715|adults_50up_female_rural.json
776-58-2833|4320616329451163|Kristie|Arnold|F|709 Rodriguez Drive Apt. 999|Vacaville|CA|95687|38.3482|-121.9538|99475|Chiropodist|1975-02-03|119936653222|adults_50up_female_urban.json
799-13-4688|180064679970242|Jamie|Montgomery|M|65307 Prince Brooks Suite 444|Denver|CO|80236|39.6535|-105.0376|990452|Regulatory affairs officer|1963-02-22|768190268997|adults_50up_male_urban.json
101-30-2202|4546913736785082143|Michelle|Powell|F|33030 Williams Lake|Mesquite|TX|75150|32.8154|-96.6307|163734|Engineer, civil (contracting)|1975-04-21|404903650217|adults_50up_female_urban.json
518-51-2030|4357972798552411|Dominique|Hughes|F|333 Joseph Lodge|Bradenton|FL|34205|27.4841|-82.5834|216518|Scientific laboratory technician|1986-10-18|949273896633|adults_2550_female_urban.json
010-61-2168|4903494466574378|Elizabeth|Meyer|F|108 Hoffman Ranch Suite 417|Kansas City|MO|64130|39.0351|-94.5467|545147|Bonds trader|1975-03-19|701267155766|adults_50up_female_urban.json
883-36-4279|4328309652074461|Jared|Doyle|M|3875 Bruce Ville|Bethesda|MD|20817|38.9896|-77.1538|80090|Surveyor, insurance|1965-01-23|322900519786|adults_50up_male_urban.json
483-17-4238|3551353465549475|Sarah|Ruiz|F|3816 Gutierrez Ways|Walnut Creek|CA|94595|37.8753|-122.0703|82557|Dentist|1966-04-27|374522422066|adults_50up_female_urban.json
584-59-2347|341752500743293|Pamela|Burns|F|96666 Reyes Camp|Galt|CA|95632|38.2691|-121.3|29269|Social research officer, government|1963-12-03|804015362037|adults_50up_female_urban.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Superior|NE|68978|40.0315|-98.0779|2377|Emergency planning/management officer|1994-09-10|445869180665|adults_2550_male_rural.json
234-29-2150|4982150648900|Kirk|Williams|M|001 Wallace Crossing|Kennewick|WA|99337|46.1814|-119.1383|90153|Sports development officer|2002-08-25|520776545528|young_adults_male_urban.json
157-27-0153|4184992618914117392|Christina|Baker|F|6420 Lozano Spurs|Decatur|IL|62526|39.8583|-88.9382|87793|Quarry manager|1988-11-18|259117969489|adults_2550_female_urban.json
014-86-1459|2717218114374471|Anthony|Li|M|5561 Melissa Cape|Potomac|MD|20854|39.0388|-77.1922|49611|Acupuncturist|1997-02-04|153983162030|adults_2550_male_urban.json
663-22-5385|379415521667462|Michael|Mendoza|M|212 Tina Vista Apt. 169|Fort Washington|MD|20744|38.7587|-76.9835|50722|Radiation protection practitioner|1982-07-27|626215958920|adults_2550_male_urban.json
449-24-6222|342771670145088|Patricia|Ray|F|588 Ryan Stream|Mountain View|CA|94040|37.3855|-122.088|74646|Fish farm manager|1977-01-30|380026994241|adults_2550_female_urban.json
693-83-6306|4028772175354087|Daniel|Schneider|M|17797 Melissa Mission Suite 170|West Palm Beach|FL|33406|26.6396|-80.0827|459921|Civil engineer, contracting|1973-08-01|452704326218|adults_50up_male_urban.json
571-71-0003|2720948837550370|Evelyn|Saunders|F|571 Katherine Forges Apt. 554|Tampa|FL|33647|28.1147|-82.3678|717255|Sports development officer|1974-03-21|410263801993|adults_50up_female_urban.json
109-06-2690|30261493316378|Roger|Lee|M|60917 Barrett Parkways Apt. 708|Lewes|DE|19958|38.7381|-75.1747|19650|Art therapist|1989-11-21|920981907761|adults_2550_male_urban.json
495-66-2904|3521699586693460|Victor|Waller|M|26984 Joseph Plaza Apt. 339|Chicago Heights|IL|60411|41.5087|-87.5904|58136|Horticultural therapist|1954-11-28|380906095118|adults_50up_male_urban.json
136-91-2914|180015879968469|Rhonda|Mills|F|2003 Christensen Estates|San Diego|CA|92123|32.7973|-117.1392|1241364|Historic buildings inspector/conservation officer|2004-11-16|277813046063|young_adults_female_urban.json
860-08-4836|4571983863842|Michael|Williams|M|6580 Julia Flats Suite 359|West Cornwall|CT|06796|41.8689|-73.3313|1009|Sports coach|2002-12-24|664596582306|young_adults_male_rural.json
795-93-3171|4212281606484229407|Erin|Mckinney|F|25909 Henry Ports|Opa Locka|FL|33055|25.9476|-80.2778|107314|Statistician|1958-09-07|78847377226|adults_50up_female_urban.json
326-68-3604|4826886153355546|Daniel|Goodwin|M|015 Allen Row Apt. 056|Alta Loma|CA|91737|34.1449|-117.5793|63716|Clothing/textile technologist|1973-01-29|280830198772|adults_50up_male_urban.json
742-37-0405|180088770435813|Tiffany|Jackson|F|133 Houston Ford|Houston|TX|77027|29.7396|-95.446|2906700|Soil scientist|1966-05-19|772358594412|adults_50up_female_urban.json
794-56-1182|3507501102481933|Thomas|Russell|M|665 Perry Crest Apt. 919|Hamel|MN|55340|45.08|-93.576|6327|Armed forces technical officer|1985-03-23|935018168609|adults_2550_male_urban.json
367-65-1739|4914766072832684246|Michael|Sloan|M|88210 Ashley Lock Apt. 435|Bremerton|WA|98310|47.6019|-122.6299|84812|Engineer, mining|1970-06-21|993909782929|adults_50up_male_urban.json
872-66-2334|4394312908781417|David|Gonzalez|M|5231 Harvey Fields Suite 775|Bronx|NY|10453|40.852|-73.9129|1382480|Warehouse manager|1954-12-23|337839646089|adults_50up_male_urban.json
599-20-9267|3556205336452575|Julie|Howard|F|8129 Meagan Walks Apt. 834|Surry|VA|23883|37.126|-76.7651|2551|Camera operator|1987-08-05|84728646799|adults_2550_female_urban.json
870-65-0512|3593084887256395|Morgan|Carter|F|816 Shaw Shore Apt. 928|Concord|NC|28027|35.4141|-80.6162|104595|Counselling psychologist|1969-08-19|173715194068|adults_50up_female_urban.json
580-73-2396|3550373145303854|James|Hardin|M|51844 Nicholas Lane|Lubbock|TX|79416|33.5924|-101.9367|254282|Medical secretary|1974-02-04|719783599768|adults_50up_male_urban.json
530-33-6166|4557790827237|Angela|Schneider|F|22591 Robert Isle|Remus|MI|49340|43.6032|-85.1574|2912|Clothing/textile technologist|1945-08-25|740802473168|adults_50up_female_urban.json
